first_name,last_name,position
Renee,Ellmers,Representative
Jo,Emerson,Representative
Tom,Emmer,Representative
Eliot,Engel,Representative
John,Ensign,Senator
William,Enyart,Representative
Michael,Enzi,Senator
Joni,Ernst,Senator
Veronica,Escobar,Representative
Anna,Eshoo,Representative
Adriano,Espaillat,Representative
Ron,Estes,Representative
Elizabeth,Esty,Representative
Dwight,Evans,Representative
Eni,Faleomavaega,Representative
Blake,Farenthold,Representative
Sam,Farr,Representative
John,Faso,Representative
Chaka,Fattah,Representative
Dianne,Feinstein,Senator
A.,Ferguson,Representative
Bob,Filner,Representative
Stephen,Fincher,Representative
Abby,Finkenauer,Representative
Deb,Fischer,Senator
Brian,Fitzpatrick,Representative
Michael,Fitzpatrick,Representative
Jeff,Flake,Senator
Charles,Fleischmann,Representative
John,Fleming,Representative
Lizzie,Fletcher,Representative
Bill,Flores,Representative
J.,Forbes,Representative
Jeff,Fortenberry,Representative
Bill,Foster,Representative
Virginia,Foxx,Representative
Barney,Frank,Representative
Lois,Frankel,Representative
Al,Franken,Senator
Trent,Franks,Representative
Rodney,Frelinghuysen,Representative
Marcia,Fudge,Representative
Russ,Fulcher,Representative
Tulsi,Gabbard,Representative
Matt,Gaetz,Representative
Mike,Gallagher,Representative
Elton,Gallegly,Representative
Pete,Gallego,Representative
Ruben,Gallego,Representative
John,Garamendi,Representative
Jesus,Garcia,Representative
Joe,Garcia,Representative
Sylvia,Garcia,Representative
Cory,Gardner,Senator
Scott,Garrett,Representative
Thomas,Garrett,Representative
Jim,Gerlach,Representative
Greg,Gianforte,Representative
Bob,Gibbs,Representative
Christopher,Gibson,Representative
Gabrielle,Giffords,Representative
Kirsten,Gillibrand,Senator
Phil,Gingrey,Representative
Louie,Gohmert,Representative
Jared,Golden,Representative
Jimmy,Gomez,Representative
Anthony,Gonzalez,Representative
Charles,Gonzalez,Representative
Vicente,Gonzalez,Representative
Jenniffer,Gonzalez-Colon,Representative
Lance,Gooden,Representative
Bob,Goodlatte,Representative
Paul,Gosar,Representative
Josh,Gottheimer,Representative
Trey,Gowdy,Representative
Gwen,Graham,Representative
Lindsey,Graham,Senator
Kay,Granger,Representative
Chuck,Grassley,Senator
Garret,Graves,Representative
Sam,Graves,Representative
Tom,Graves,Representative
Alan,Grayson,Representative
Al,Green,Representative
Gene,Green,Representative
Mark,Green,Representative
Tim,Griffin,Representative
H.,Griffith,Representative
Raul,Grijalva,Representative
Michael,Grimm,Representative
Glenn,Grothman,Representative
Michael,Guest,Representative
Frank,Guinta,Representative
Brett,Guthrie,Representative
Luis,Gutierrez,Representative
Debra,Haaland,Representative
Kay,Hagan,Senator
Jim,Hagedorn,Representative
Janice,Hahn,Representative
Ralph,Hall,Representative
Colleen,Hanabusa,Representative
Karen,Handel,Representative
Richard,Hanna,Representative
Josh,Harder,Representative
Cresent,Hardy,Representative
Tom,Harkin,Senator
Jane,Harman,Representative
Gregg,Harper,Representative
Andy,Harris,Representative
Kamala,Harris,Senator
Vicky,Hartzler,Representative
Margaret,Hassan,Senator
Alcee,Hastings,Representative
Doc,Hastings,Representative
Orrin,Hatch,Senator
Josh,Hawley,Senator
Jahana,Hayes,Representative
Nan,Hayworth,Representative
Denny,Heck,Representative
Joseph,Heck,Representative
Martin,Heinrich,Senator
Heidi,Heitkamp,Senator
Dean,Heller,Senator
Jeb,Hensarling,Representative
